trades,win_rate,total_pts,total_usd,avg_pts,entry,exit
85,78.82352941176471,28135.5,562710.0,331.00588235294117,0.32,0.81
80,81.25,28103.5,562070.0,351.29375,0.34,0.85
77,81.81818181818183,28070.75,561415.0,364.5551948051948,0.32,0.85
93,79.56989247311827,27941.25,558825.0,300.44354838709677,0.33,0.77
58,84.48275862068965,27891.5,557830.0,480.88793103448273,0.24,0.89
82,79.26829268292683,27849.5,556990.0,339.6280487804878,0.31,0.83
78,82.05128205128204,27807.0,556140.0,356.5,0.33,0.85
64,81.25,27784.25,555685.0,434.12890625,0.24,0.88
84,82.14285714285714,27783.25,555665.0,330.7529761904762,0.34,0.84
81,81.48148148148148,27763.25,555265.0,342.7561728395062,0.32,0.84
37,78.37837837837837,27728.5,554570.0,749.418918918919,0.19,0.94
54,83.33333333333334,27667.5,553350.0,512.3611111111111,0.23,0.91
85,78.82352941176471,27653.5,553070.0,325.33529411764704,0.33,0.82
86,79.06976744186046,27516.0,550320.0,319.95348837209303,0.33,0.81
91,78.02197802197803,27331.25,546625.0,300.3434065934066,0.35,0.8
77,81.81818181818183,27228.75,544575.0,353.62012987012986,0.35,0.86
91,79.12087912087912,27201.25,544025.0,298.91483516483515,0.31,0.77
82,81.70731707317073,27143.75,542875.0,331.0213414634146,0.33,0.84
55,83.63636363636363,27087.0,541740.0,492.4909090909091,0.22,0.9
52,82.6923076923077,27080.75,541615.0,520.7836538461538,0.23,0.92
92,78.26086956521739,27066.75,541335.0,294.20380434782606,0.35,0.79
94,78.72340425531915,27010.75,540215.0,287.34840425531917,0.35,0.78
63,80.95238095238095,26954.0,539080.0,427.8412698412698,0.23,0.88
83,78.3132530120482,26913.5,538270.0,324.2590361445783,0.31,0.82
73,82.1917808219178,26894.75,537895.0,368.42123287671234,0.32,0.86
101,78.21782178217822,26871.75,537435.0,266.0569306930693,0.35,0.74
103,78.64077669902912,26865.5,537310.0,260.83009708737865,0.35,0.72
103,78.64077669902912,26865.5,537310.0,260.83009708737865,0.35,0.73
58,84.48275862068965,26832.0,536640.0,462.62068965517244,0.23,0.89
99,79.7979797979798,26820.0,536400.0,270.90909090909093,0.35,0.76
84,78.57142857142857,26776.0,535520.0,318.76190476190476,0.31,0.81
76,81.57894736842105,26711.25,534225.0,351.4638157894737,0.31,0.85
100,78.0,26687.75,533755.0,266.8775,0.34,0.74
102,78.43137254901961,26681.5,533630.0,261.5833333333333,0.34,0.73
102,78.43137254901961,26681.5,533630.0,261.5833333333333,0.34,0.72
97,78.35051546391753,26680.0,533600.0,275.0515463917526,0.32,0.74
99,78.78787878787878,26673.75,533475.0,269.4318181818182,0.32,0.73
99,78.78787878787878,26673.75,533475.0,269.4318181818182,0.32,0.72
98,79.59183673469387,26636.0,532720.0,271.7959183673469,0.34,0.76
74,82.43243243243244,26631.0,532620.0,359.8783783783784,0.33,0.86
95,80.0,26628.25,532565.0,280.2973684210526,0.32,0.76
53,83.01886792452831,26413.25,528265.0,498.3632075471698,0.22,0.91
80,81.25,26403.75,528075.0,330.046875,0.31,0.84
51,82.35294117647058,26370.0,527400.0,517.0588235294117,0.22,0.92
96,79.16666666666666,26307.5,526150.0,274.0364583333333,0.31,0.74
98,79.59183673469387,26301.25,526025.0,268.3801020408163,0.31,0.72
98,79.59183673469387,26301.25,526025.0,268.3801020408163,0.31,0.73
94,80.85106382978722,26255.75,525115.0,279.3164893617021,0.31,0.76
90,77.77777777777779,26160.25,523205.0,290.6694444444444,0.34,0.8
87,77.01149425287356,26140.25,522805.0,300.46264367816093,0.32,0.8
98,78.57142857142857,26060.5,521210.0,265.9234693877551,0.33,0.74
76,81.57894736842105,26057.75,521155.0,342.86513157894734,0.34,0.86
100,79.0,26054.25,521085.0,260.5425,0.33,0.73
100,79.0,26054.25,521085.0,260.5425,0.33,0.72
96,80.20833333333334,26008.75,520175.0,270.9244791666667,0.33,0.76
104,78.84615384615384,25997.75,519955.0,249.9783653846154,0.35,0.71
92,80.43478260869566,25995.0,519900.0,282.55434782608694,0.29,0.73
92,80.43478260869566,25995.0,519900.0,282.55434782608694,0.29,0.72
57,84.21052631578947,25931.25,518625.0,454.9342105263158,0.22,0.89
104,78.84615384615384,25923.75,518475.0,249.26682692307693,0.35,0.7
77,81.81818181818183,25900.0,518000.0,336.3636363636364,0.29,0.83
91,78.02197802197803,25895.75,517915.0,284.56868131868134,0.34,0.79
88,77.27272727272727,25875.75,517515.0,294.0426136363636,0.32,0.79
100,79.0,25861.75,517235.0,258.6175,0.35,0.75
93,78.49462365591397,25839.75,516795.0,277.8467741935484,0.34,0.78
60,81.66666666666667,25831.25,516625.0,430.5208333333333,0.22,0.88
90,77.77777777777779,25819.75,516395.0,286.8861111111111,0.32,0.78
34,76.47058823529412,25816.5,516330.0,759.3088235294117,0.17,0.95
103,78.64077669902912,25813.75,516275.0,250.61893203883494,0.34,0.71
100,79.0,25806.0,516120.0,258.06,0.32,0.71
103,78.64077669902912,25739.75,514795.0,249.9004854368932,0.34,0.7
100,79.0,25732.0,514640.0,257.32,0.32,0.7
99,78.78787878787878,25677.75,513555.0,259.3712121212121,0.34,0.75
88,80.68181818181817,25675.75,513515.0,291.7698863636364,0.27,0.73
88,80.68181818181817,25675.75,513515.0,291.7698863636364,0.27,0.72
90,81.11111111111111,25673.0,513460.0,285.25555555555553,0.29,0.74
96,79.16666666666666,25670.0,513400.0,267.3958333333333,0.32,0.75
88,82.95454545454545,25621.25,512425.0,291.1505681818182,0.29,0.76
68,82.35294117647058,25599.25,511985.0,376.4595588235294,0.29,0.87
85,81.17647058823529,25579.75,511595.0,300.93823529411765,0.29,0.77
73,82.1917808219178,25535.25,510705.0,349.79794520547944,0.31,0.86
88,77.27272727272727,25520.75,510415.0,290.00852272727275,0.33,0.8
93,78.49462365591397,25495.0,509900.0,274.13978494623655,0.3,0.72
93,78.49462365591397,25495.0,509900.0,274.13978494623655,0.3,0.73
78,78.2051282051282,25473.25,509465.0,326.58012820512823,0.3,0.83
99,79.7979797979798,25433.5,508670.0,256.9040404040404,0.31,0.71
66,80.3030303030303,25389.75,507795.0,384.6931818181818,0.26,0.87
66,80.3030303030303,25373.25,507465.0,384.4431818181818,0.24,0.87
90,80.0,25366.0,507320.0,281.84444444444443,0.28,0.72
90,80.0,25366.0,507320.0,281.84444444444443,0.28,0.73
99,79.7979797979798,25359.5,507190.0,256.15656565656565,0.31,0.7
86,81.3953488372093,25353.75,507075.0,294.8110465116279,0.27,0.74
69,81.15942028985508,25312.75,506255.0,366.8514492753623,0.3,0.87
84,83.33333333333334,25302.0,506040.0,301.2142857142857,0.27,0.76
95,80.0,25297.5,505950.0,266.2894736842105,0.31,0.75
74,82.43243243243244,25291.5,505830.0,341.77702702702703,0.27,0.83
82,81.70731707317073,25260.5,505210.0,308.0548780487805,0.27,0.77
89,77.52808988764045,25256.25,505125.0,283.7780898876405,0.33,0.79
91,78.02197802197803,25246.25,504925.0,277.43131868131866,0.3,0.74
66,80.3030303030303,25242.75,504855.0,382.46590909090907,0.25,0.87
91,78.02197802197803,25200.25,504005.0,276.9258241758242,0.33,0.78
89,79.7752808988764,25194.5,503890.0,283.0842696629214,0.3,0.76
101,79.20792079207921,25186.5,503730.0,249.37128712871288,0.33,0.71
86,77.90697674418605,25153.0,503060.0,292.4767441860465,0.3,0.77
101,79.20792079207921,25112.5,502250.0,248.63861386138615,0.33,0.7
66,81.81818181818183,25110.0,502200.0,380.45454545454544,0.27,0.87
97,79.38144329896907,25050.5,501010.0,258.2525773195876,0.33,0.75
93,80.64516129032258,25049.0,500980.0,269.3440860215054,0.29,0.71
88,80.68181818181817,25044.0,500880.0,284.59090909090907,0.28,0.74
86,82.55813953488372,24992.25,499845.0,290.6075581395349,0.28,0.76
75,81.33333333333333,24981.75,499635.0,333.09,0.28,0.83
93,80.64516129032258,24975.0,499500.0,268.5483870967742,0.29,0.7
78,80.76923076923077,24964.0,499280.0,320.05128205128204,0.29,0.82
83,80.72289156626506,24950.75,499015.0,300.6114457831325,0.28,0.77
73,82.1917808219178,24941.5,498830.0,341.66438356164383,0.24,0.83
37,78.37837837837837,24907.75,498155.0,673.1824324324324,0.18,0.94
79,81.0126582278481,24826.5,496530.0,314.25949367088606,0.29,0.81
86,76.74418604651163,24780.75,495615.0,288.1482558139535,0.31,0.8
52,82.6923076923077,24756.0,495120.0,476.0769230769231,0.21,0.9
89,80.89887640449437,24729.75,494595.0,277.8623595505618,0.27,0.71
69,82.6086956521739,24712.5,494250.0,358.1521739130435,0.24,0.85
52,82.6923076923077,24708.25,494165.0,475.15865384615387,0.2,0.9
89,82.02247191011236,24663.0,493260.0,277.1123595505618,0.29,0.75
89,80.89887640449437,24655.75,493115.0,277.0308988764045,0.27,0.7
94,78.72340425531915,24627.25,492545.0,261.9920212765957,0.3,0.71
73,82.1917808219178,24575.75,491515.0,336.65410958904107,0.26,0.83
84,79.76190476190477,24556.75,491135.0,292.3422619047619,0.26,0.73
84,79.76190476190477,24556.75,491135.0,292.3422619047619,0.26,0.72
94,78.72340425531915,24553.25,491065.0,261.20478723404256,0.3,0.7
65,80.0,24543.0,490860.0,377.5846153846154,0.23,0.87
79,77.21518987341773,24537.25,490745.0,310.5981012658228,0.3,0.82
87,77.01149425287356,24516.25,490325.0,281.79597701149424,0.31,0.79
89,77.52808988764045,24460.25,489205.0,274.8342696629214,0.31,0.78
73,82.1917808219178,24428.75,488575.0,334.6404109589041,0.25,0.83
91,80.21978021978022,24420.0,488400.0,268.35164835164835,0.28,0.71
84,79.76190476190477,24409.75,488195.0,290.5922619047619,0.25,0.73
84,79.76190476190477,24409.75,488195.0,290.5922619047619,0.25,0.72
80,77.5,24399.75,487995.0,304.996875,0.3,0.81
75,81.33333333333333,24355.5,487110.0,324.74,0.27,0.82
69,82.6086956521739,24346.75,486935.0,352.8514492753623,0.26,0.85
91,80.21978021978022,24346.0,486920.0,267.53846153846155,0.28,0.7
85,82.35294117647058,24343.75,486875.0,286.3970588235294,0.27,0.75
74,81.08108108108108,24309.75,486195.0,328.51013513513516,0.24,0.82
66,81.81818181818183,24298.75,485975.0,368.1628787878788,0.28,0.87
90,78.88888888888889,24236.25,484725.0,269.2916666666667,0.3,0.75
82,80.48780487804879,24234.75,484695.0,295.5457317073171,0.26,0.74
80,82.5,24224.5,484490.0,302.80625,0.24,0.76
76,81.57894736842105,24218.0,484360.0,318.6578947368421,0.27,0.81
33,75.75757575757575,24214.0,484280.0,733.7575757575758,0.16,0.95
69,82.6086956521739,24199.75,483995.0,350.7210144927536,0.25,0.85
78,80.76923076923077,24183.0,483660.0,310.03846153846155,0.24,0.77
80,82.5,24183.0,483660.0,302.2875,0.26,0.76
72,83.33333333333334,24177.75,483555.0,335.8020833333333,0.29,0.85
75,81.33333333333333,24172.25,483445.0,322.2966666666667,0.24,0.81
78,80.76923076923077,24141.5,482830.0,309.5064102564103,0.26,0.77
72,81.94444444444444,24111.25,482225.0,334.87847222222223,0.23,0.83
83,80.72289156626506,24096.75,481935.0,290.3222891566265,0.24,0.72
83,80.72289156626506,24096.75,481935.0,290.3222891566265,0.24,0.73
82,80.48780487804879,24087.75,481755.0,293.7530487804878,0.25,0.74
50,82.0,24082.25,481645.0,481.645,0.21,0.91
69,84.05797101449275,24067.0,481340.0,348.7971014492754,0.27,0.85
76,80.26315789473685,24045.75,480915.0,316.39144736842104,0.28,0.82
80,82.5,24036.0,480720.0,300.45,0.25,0.76
50,82.0,24034.5,480690.0,480.69,0.2,0.91
87,81.60919540229885,24034.0,480680.0,276.2528735632184,0.28,0.75
78,80.76923076923077,23994.5,479890.0,307.62179487179486,0.25,0.77
71,83.09859154929578,23933.0,478660.0,337.0845070422535,0.24,0.84
77,80.51948051948052,23908.25,478165.0,310.49675324675326,0.28,0.81
73,80.82191780821918,23891.25,477825.0,327.277397260274,0.3,0.85
68,82.35294117647058,23882.25,477645.0,351.2095588235294,0.23,0.85
75,82.66666666666667,23870.25,477405.0,318.27,0.29,0.84
54,83.33333333333334,23853.0,477060.0,441.72222222222223,0.21,0.89
54,83.33333333333334,23805.25,476105.0,440.837962962963,0.2,0.89
82,81.70731707317073,23774.75,475495.0,289.9359756097561,0.24,0.74
72,83.33333333333334,23759.5,475190.0,329.99305555555554,0.27,0.84
49,81.63265306122449,23757.5,475150.0,484.8469387755102,0.21,0.92
56,80.35714285714286,23719.75,474395.0,423.5669642857143,0.21,0.88
49,81.63265306122449,23709.75,474195.0,483.8724489795918,0.2,0.92
56,80.35714285714286,23672.0,473440.0,422.7142857142857,0.2,0.88
74,81.08108108108108,23639.75,472795.0,319.4560810810811,0.26,0.82
85,80.0,23610.75,472215.0,277.7735294117647,0.26,0.7
85,80.0,23610.75,472215.0,277.7735294117647,0.26,0.71
76,80.26315789473685,23583.75,471675.0,310.3125,0.3,0.84
71,83.09859154929578,23567.25,471345.0,331.9330985915493,0.26,0.84
67,80.59701492537313,23540.25,470805.0,351.3470149253731,0.24,0.86
84,80.95238095238095,23518.25,470365.0,279.9791666666667,0.24,0.7
84,80.95238095238095,23518.25,470365.0,279.9791666666667,0.24,0.71
75,81.33333333333333,23502.25,470045.0,313.36333333333334,0.26,0.81
74,81.08108108108108,23492.75,469855.0,317.4695945945946,0.25,0.82
73,80.82191780821918,23479.5,469590.0,321.63698630136986,0.23,0.82
85,80.0,23463.75,469275.0,276.04411764705884,0.25,0.7
85,80.0,23463.75,469275.0,276.04411764705884,0.25,0.71
62,80.64516129032258,23420.25,468405.0,377.7459677419355,0.22,0.87
71,83.09859154929578,23420.25,468405.0,329.86267605633805,0.25,0.84
79,82.27848101265823,23394.25,467885.0,296.12974683544303,0.23,0.76
75,81.33333333333333,23355.25,467105.0,311.4033333333333,0.25,0.81
77,80.51948051948052,23352.75,467055.0,303.28246753246754,0.23,0.77
74,81.08108108108108,23342.0,466840.0,315.43243243243245,0.23,0.81
81,81.48148148148148,23266.25,465325.0,287.23765432098764,0.24,0.75
82,80.48780487804879,23259.5,465190.0,283.6524390243902,0.23,0.73
70,82.85714285714286,23259.5,465190.0,332.2785714285714,0.28,0.85
82,80.48780487804879,23259.5,465190.0,283.6524390243902,0.23,0.72
81,81.48148148148148,23224.75,464495.0,286.7253086419753,0.26,0.75
67,80.59701492537313,23174.5,463490.0,345.8880597014925,0.26,0.86
69,82.6086956521739,23173.5,463470.0,335.8478260869565,0.22,0.83
70,82.85714285714286,23102.75,462055.0,330.0392857142857,0.23,0.84
50,80.0,23084.5,461690.0,461.69,0.35,0.93
81,81.48148148148148,23077.75,461555.0,284.9104938271605,0.25,0.75
67,80.59701492537313,23027.5,460550.0,343.6940298507463,0.25,0.86
69,82.6086956521739,23001.75,460035.0,333.35869565217394,0.29,0.86
50,80.0,22982.5,459650.0,459.65,0.33,0.93
73,82.1917808219178,22952.0,459040.0,314.4109589041096,0.28,0.84
81,81.48148148148148,22937.5,458750.0,283.179012345679,0.23,0.74
33,75.75757575757575,22917.5,458350.0,694.469696969697,0.15,0.95
67,82.08955223880598,22894.75,457895.0,341.71268656716416,0.27,0.86
69,81.15942028985508,22846.0,456920.0,331.1014492753623,0.22,0.82
81,79.01234567901234,22831.25,456625.0,281.86728395061726,0.29,0.8
50,82.0,22803.75,456075.0,456.075,0.19,0.9
75,84.0,22760.75,455215.0,303.4766666666667,0.22,0.76
65,83.07692307692308,22759.5,455190.0,350.1461538461538,0.22,0.85
49,79.59183673469387,22719.5,454390.0,463.66326530612247,0.32,0.93
73,82.1917808219178,22719.25,454385.0,311.222602739726,0.22,0.77
70,81.42857142857143,22715.25,454305.0,324.50357142857143,0.3,0.86
66,80.3030303030303,22710.0,454200.0,344.09090909090907,0.23,0.86
70,81.42857142857143,22708.5,454170.0,324.40714285714284,0.22,0.81
78,83.33333333333334,22699.25,453985.0,291.01602564102564,0.22,0.73
78,83.33333333333334,22699.25,453985.0,291.01602564102564,0.22,0.72
83,80.72289156626506,22681.0,453620.0,273.26506024096386,0.23,0.7
83,80.72289156626506,22681.0,453620.0,273.26506024096386,0.23,0.71
76,78.94736842105263,22670.75,453415.0,298.2993421052632,0.24,0.79
